sku_id,sku_name,sales_month,monthly_revenue,prev_month_revenue,revenue_change,pct_change_revenue,monthly_units,prev_month_units
1133,Electronics_Mobile Accessories_1133,2025-09-01,1353.9999389648438,6468.796763420105,-5114.796824455261,-79.07,40,208
1022,Household_Cleaning Supplies_1022,2025-09-01,2466.89998626709,10043.239990234375,-7576.340003967285,-75.44,45,206
1031,Snacks_Chips_1031,2021-09-01,809.3100242614746,3254.490031242371,-2445.1800069808965,-75.13,53,235
1172,Electronics_Chargers_1172,2025-09-01,4991.799865722656,19875.899597167972,-14884.099731445316,-74.89,44,198
1146,Snacks_Chocolates_1146,2021-03-01,1034.7900466918945,4113.4500823974595,-3078.660035705565,-74.84,51,246
1038,Electronics_Cables_1038,2025-09-01,4666.159942626953,17960.54473648071,-13294.384793853758,-74.02,47,202
1086,Grocery_Rice_1086,2021-03-01,1024.0800285339355,3925.4200832843776,-2901.340054750442,-73.91,68,312
1080,Snacks_Chips_1080,2021-09-01,1001.25,3792.347099494934,-2791.097099494934,-73.60,45,201
1032,Snacks_Chocolates_1032,2021-09-01,667.0399932861328,2513.9800114631657,-1846.940018177033,-73.47,44,182
1108,Dairy_Butter_1108,2021-03-01,2555.799980163574,9632.644718170168,-7076.844738006594,-73.47,65,288
1199,Electronics_Cables_1199,2024-09-01,11954.279968261719,44141.06927795409,-32186.789309692373,-72.92,52,215
1021,Grocery_Canned Goods_1021,2023-09-01,1239.6899967193604,4412.985951614379,-3173.2959548950184,-71.91,43,188
1012,Beverages_Juices_1012,2021-03-01,930.600025177002,3300.1209650039673,-2369.5209398269653,-71.80,66,286
1056,Snacks_Nuts_1056,2025-09-01,334.88000106811523,1185.912017440796,-851.0320163726808,-71.76,56,228
1145,Household_Trash Bags_1145,2022-09-01,584.4600019454956,2049.9870598793027,-1465.527057933807,-71.49,51,208
1059,Electronics_Cables_1059,2024-09-01,1316.2599716186523,4578.1570144653315,-3261.897042846679,-71.25,62,239
1166,Grocery_Spices_1166,2021-03-01,3057.8399810791016,10460.391733551025,-7402.5517524719235,-70.77,62,254
1149,Electronics_Chargers_1149,2022-09-01,4039.620071411133,13691.064212036132,-9651.444140624999,-70.49,39,147
1046,Household_Paper Products_1046,2022-03-01,2909.499931335449,9848.469799041748,-6938.969867706299,-70.46,50,213
1146,Snacks_Chocolates_1146,2021-09-01,1115.950050354004,3744.8381170272824,-2628.8880666732784,-70.20,55,203
1107,Electronics_Mobile Accessories_1107,2022-03-01,7716.960205078125,25572.765522003174,-17855.80531692505,-69.82,48,226
1155,Electronics_Mobile Accessories_1155,2025-04-01,1097.7879611968995,3620.6579601287835,-2522.869998931884,-69.68,49,223
1121,Grocery_Rice_1121,2022-03-01,1849.039951324463,6097.049898147583,-4248.00994682312,-69.67,58,263
1114,Electronics_Batteries_1114,2022-09-01,8535.519897460938,28031.76109619141,-19496.241198730473,-69.55,56,205
1052,Snacks_Crackers_1052,2023-09-01,867.3600158691406,2839.8640426635743,-1972.5040267944337,-69.46,52,216
1025,Household_Detergent_1025,2025-04-01,411.1979780673981,1345.4839638710018,-934.2859858036038,-69.44,49,229
1198,Dairy_Cheese_1198,2025-09-01,1114.1299934387207,3626.1899642944345,-2512.059970855714,-69.28,43,158
1163,Household_Paper Products_1163,2021-09-01,2430.3499603271484,7909.715160369873,-5479.365200042725,-69.27,65,241
1073,Electronics_Chargers_1073,2021-03-01,7704.31982421875,25036.02763404846,-17331.70780982971,-69.23,64,241
1126,Beverages_Soft Drinks_1126,2024-09-01,1824.7000541687012,5890.696981239318,-4065.996927070617,-69.02,71,256
1072,Electronics_Chargers_1072,2022-09-01,10959.959747314453,35283.6019958496,-24323.64224853515,-68.94,46,165
1149,Electronics_Chargers_1149,2025-09-01,7768.500137329102,24892.036373901374,-17123.536236572272,-68.79,75,273
1156,Personal Care_Soap_1156,2021-09-01,1969.1000442504883,6265.302016639708,-4296.20197238922,-68.57,58,206
1128,Grocery_Spices_1128,2025-09-01,1275.8399963378906,4056.227998924255,-2780.3880025863646,-68.55,48,168
1112,Household_Paper Products_1112,2025-04-01,611.4100060462952,1942.1870114803314,-1330.7770054340363,-68.52,64,260
1009,Electronics_Batteries_1009,2025-09-01,4911.299835205078,15593.025851440427,-10681.726016235349,-68.50,54,195
1191,Dairy_Butter_1191,2024-09-01,603.8999767303467,1912.5809432983394,-1308.6809665679928,-68.42,61,212
1039,Beverages_Soft Drinks_1039,2025-04-01,1294.471990966797,4095.8939254760744,-2801.4219345092774,-68.40,52,231
1159,Electronics_Batteries_1159,2025-09-01,10684.800109863281,33779.727699279785,-23094.927589416504,-68.37,60,218
1102,Snacks_Biscuits_1102,2021-09-01,1270.8600540161133,4010.0850219726562,-2739.224967956543,-68.31,59,208
1010,Grocery_Rice_1010,2021-09-01,903.650016784668,2843.4950232505794,-1939.8450064659114,-68.22,55,193
1015,Dairy_Cream_1015,2021-03-01,1926.2299404144287,6058.414831638337,-4132.184891223908,-68.21,71,258
1021,Grocery_Canned Goods_1021,2021-09-01,1470.3299961090088,4609.395082855224,-3139.0650867462155,-68.10,51,184
1052,Snacks_Crackers_1052,2022-03-01,1100.8800201416016,3448.590063095093,-2347.710042953491,-68.08,66,282
1117,Snacks_Crackers_1117,2025-09-01,636.1599731445312,1982.3649363517761,-1346.2049632072449,-67.91,64,222
1015,Dairy_Cream_1015,2021-09-01,1383.6299571990967,4308.459926605225,-2924.829969406128,-67.89,51,174
1010,Grocery_Rice_1010,2024-09-01,1035.0900192260742,3217.4310313224782,-2182.341012096404,-67.83,63,215
1147,Snacks_Crackers_1147,2023-09-01,1099.2199878692627,3407.003989791871,-2307.7840019226082,-67.74,53,201
1190,Dairy_Milk_1190,2023-09-01,1418.2000160217285,4392.599922180176,-2974.3999061584473,-67.71,70,269
1046,Household_Paper Products_1046,2021-03-01,3665.969913482666,11319.96476173401,-7653.994848251345,-67.62,63,232
1081,Snacks_Nuts_1081,2024-09-01,684.0800285339355,2102.715062999725,-1418.6350344657894,-67.47,68,237
1058,Personal Care_Soap_1058,2022-09-01,2478.849983215332,7608.782160568238,-5129.932177352906,-67.42,55,196
1033,Household_Paper Products_1033,2025-09-01,1978.839916229248,6073.1999588012695,-4094.3600425720215,-67.42,61,210
1188,Grocery_Spices_1188,2021-03-01,1304.3199462890625,3983.5558803558342,-2679.2359340667717,-67.26,64,231
